Date,Profit,Sales
9/20/2016,-4391.01,3472.680777
9/21/2016,4462.44,57083.48901
9/22/2016,14627.63,21168.59277
9/23/2016,2854.28,18899.56966
9/24/2016,-8173.33,708.6263657
9/25/2016,1960.32,16107.77518
9/26/2016,-9318.84,17255.51956
9/27/2016,17872.04,50132.84946
9/28/2016,1160.71,9093.899856
9/29/2016,-3401.32,72255.05554
9/30/2016,3412.5,23761.83607
10/1/2016,-12370.24,63275.69498
10/2/2016,6831.4,41297.29665
10/3/2016,-9602.04,9987.792297
10/4/2016,-17713.78,84478.00348
10/5/2016,-810.66,43686.70547
10/6/2016,34701.91,153591.7346
10/7/2016,15250.75,97762.76355
10/8/2016,-20082.6,148560.2337
10/9/2016,-23431.1,11036.14221
10/10/2016,15407.46,37047.76343
10/11/2016,-334.59,58404.78436
10/12/2016,-338.36,15317.8561
10/13/2016,-25563.53,10116.31516
10/14/2016,1245,42472.88806
10/15/2016,3138.85,39140.11347
10/16/2016,1364.88,10612.36885
10/17/2016,18096.89,36277.27891
10/18/2016,15.49,14838.02462
10/19/2016,-7010.45,47217.39673
10/20/2016,-8943.75,16483.00615
10/21/2016,3695.68,12914.02522
10/22/2016,-18125.79,45097.72392
10/23/2016,-1458,2787.538192
10/24/2016,-1639.18,26748.14939
10/25/2016,3790.63,17234.21285
10/26/2016,-1211.14,33292.93806
10/27/2016,9475.09,40528.47843
10/28/2016,21963.12,40078.07706
10/29/2016,19357.67,69504.04464
10/30/2016,-19466.16,23081.80152
10/31/2016,-19530.74,43758.6972
11/1/2016,12389.29,90623.30497
11/2/2016,-20221.82,53332.50067
11/3/2016,-32344.9,122900.3783
11/4/2016,-37553.32,44154.16281
11/5/2016,3354.56,8460.300347
11/6/2016,4036.01,27707.76183
11/7/2016,6599.55,35394.98477
11/8/2016,-3369.82,25976.55116
11/9/2016,-4112.54,14873.77572
11/10/2016,-31999.45,32264.20656
11/11/2016,17380.46,108109.2965
11/12/2016,4172.83,29781.58318
11/13/2016,-10637.98,67669.04633
11/14/2016,4213.85,40643.05102
11/15/2016,-26449.96,24214.48797
11/16/2016,-3616.61,15704.6601
11/17/2016,3078.02,5768.82195
11/18/2016,-12973.45,31258.80869
11/19/2016,-9196.39,8452.528017
11/20/2016,-4402.88,6519.661767
11/21/2016,23817.95,107975.2329
11/22/2016,-359.1,11890.59263
11/23/2016,4346.74,23562.46552
11/24/2016,37483.19,107884.2419
11/25/2016,-8944.89,35276.27243
11/26/2016,2433.65,4161.880062
11/27/2016,40090.98,297528.7273
11/28/2016,20901.39,122309.7722
11/29/2016,-13140.76,103749.182
11/30/2016,-22331.52,47450.86938
12/1/2016,-23249.89,16263.97123
12/2/2016,16339.59,44288.9892
12/3/2016,1817.94,35999.38142
12/4/2016,2319.22,10836.48282
12/5/2016,7434.75,71194.01217
12/6/2016,4766.15,20013.73918
12/7/2016,-4923.01,53739.31189
12/8/2016,-5644.13,44192.6401
12/9/2016,-13307.74,49890.24227
12/10/2016,8052.29,37629.11248
12/11/2016,-1050.66,28317.98741
12/12/2016,-20414.58,135771.1647
12/13/2016,-12267.04,43348.08529
12/14/2016,-8942.46,56438.03695
12/15/2016,-679.71,55946.7317
12/16/2016,-21742.46,178413.5691
12/17/2016,-9087.14,24739.26247
12/18/2016,-315.96,3495.527043
12/19/2016,-25997.21,42272.16465
12/20/2016,2898.05,3275.788547
12/21/2016,-25628.18,30243.79673
12/22/2016,7575.24,74361.74453
12/23/2016,-8874.48,25203.32051
12/24/2016,29537.08,77360.1745
12/25/2016,18682.03,37107.17959
12/26/2016,27965.12,44317.59466
12/27/2016,19513.09,86815.78209
12/28/2016,11283.26,18596.53328
12/29/2016,12242.18,82640.35189
12/30/2016,3752.4,14519.93815
12/31/2016,-12936.39,10823.59026
1/1/2017,-17697.78,105886.429
1/2/2017,-226.84,36296.29405
1/3/2017,-4549.71,8716.427581
1/4/2017,19688.15,144646.2105
1/5/2017,6586.27,28373.92899
1/6/2017,269.14,104490.6723
1/7/2017,12926.58,47692.40788
1/8/2017,12988.63,36020.39412
1/9/2017,-5302.61,91976.52278
1/10/2017,-6239.92,8597.098801
1/11/2017,11942.82,47538.55744
1/12/2017,528.69,1826.081807
1/13/2017,29071.64,43354.0319
1/14/2017,11101.39,17296.14762
1/15/2017,-3135.7,18413.681
1/16/2017,10338.46,13230.05549
1/17/2017,-20630.65,6683.308283
1/18/2017,1067.27,19300.48453
1/19/2017,3881.51,21923.14752
1/20/2017,-35255.06,85454.05544
1/21/2017,748.68,3524.628715
1/22/2017,-1506.73,33299.29339
1/23/2017,-12051.85,131851.8325
1/24/2017,-17567.17,107261.187
1/25/2017,6412.37,20477.5587
1/26/2017,-39891.25,79290.93784
1/27/2017,12601.3,125514.6071
1/28/2017,-300.1,56740.48585
